Title,Description
启蒙者——父亲杨新亚,毕业后，我被分配到外交系统工作，发觉这个工作太死板，主动要求调到保卫国家安全部门工作。父亲知道我换工作一直闷闷不乐。晚饭后我们聊天，他打断我说，我知道你是干什么的，你会告发我和亲戚朋友吗？你会像文革中那些打小报告的人一样吗？
李嘉诚和王健林都已不再信仰中国房地产？,他们是过去二十年里在中国房地产市场赚钱最多的两位投资者。近期，却都在做着第二手准备，逐渐淡出中国房地产市场。如李嘉诚决定剥离中国资产一样，王健林最近对于美国和其他海外市场的关注，或与中国房地产市场放缓势头扩大有关。
G20后，领导人去哪儿了？,出席二十国集团领导人第九次峰会后，中国国家主席习近平应澳大利亚联邦总督科斯格罗夫和总理阿博特、新西兰总督迈特帕里和总理约翰·基、斐济共和国总统奈拉蒂考和总理姆拜尼马拉马邀请，对上述三国进行国事访问。那么其他领导人在峰会后都去哪儿了？
电商假货链条暗访调查：聚美等平台涉嫌知假售假,假货聚集的祥鹏恒业虽不是大公司，但和京东、聚美，包括亚马逊、国美在线、1号店外，走秀网、拉手、美团都过合作。据腾讯科技，电商平台对售假并非不知情，但由于能带来人气，且不是电商自己经营，被发现也能撇开关系，故互相利用。
招生动画告诉你10条路上清华,昨日，清华大学招办推出自编自导的动画大片《清小华带你上清华》，帮助公众梳理出进入清华的10条“路”。这部《清小华带你上清华》是地道的清华制造，由清华大学招办出品，清华大学美术学院的清美影画社制作而成。
外交部：越南渔船携大量炸药进入西沙炸鱼被中方没收,越南方面9日称中国渔船在西沙群岛海域骚扰越南渔船。中方表示，越方对中方的指责完全不符合事实。经核实，8月15日，一艘越南渔船非法进入中国西沙海域进行炸鱼活动，中方执法部门依法对其登检并没收了该船携带的大量炸药。
三星继承人面临60亿美元遗产税账单,三星集团董事长李健熙目前身体状况不佳，其继承人面临着有史以来最大金额的遗产税账单。依据韩国遗产税50%的最高税率计算，李健熙现年45岁的儿子、三星集团可能的继承人李在镕及他的两个妹妹可能需要缴纳的遗产税高达60亿美元左右。
90后妹子讨厌坐班改开飞机,“不喜欢朝九晚五，平淡的生活，大专读的是工商英语，毕业后在高铁工作，后来辞职在电视台做主持人，去年进了通航公司，现在成了飞行员。4本厚厚的书，都是空气动力学之类的东西，硬是啃下来了。整天跟他们这些男人在一起，我都快成了女汉子了”
不要轻易接受马航的赔偿新华社——经济参考网,本次空难事故赔偿应适用《蒙特利尔公约》。死亡赔偿涉及死者亲属范围、损失事项、标准等，对中国乘客而言，不仅要研究国际公约、中国法律关于人身损害赔偿的规定，还要研究马来西亚或者其他国家法律，比较哪国的赔偿规定更有利于自己索赔。
乳企自建奶源大多只是做做样子新华社——经济参考网,目前国内奶粉生产企业大多是以合约牧场模式为主，但真正的自建奶源几乎为零。光明乳业总裁郭本恒表示，自建奶源在很多情况下都是企业“做做样子，给媒体、给社会一个交代”，因为自有奶源成本太高，“企业根本投不起”。
黄太吉估值12亿，一个煎饼是怎么让投资人发疯的？,无论这个估值是否有水分，真正重要的是，我们从他身上悟到什么，学到什么。而批评与怀疑，让我们一无所获。移动互联时代到来，我们新餐饮人要思考得更多，更要紧紧跟上时代。
通过创新宏观调控适应新常态新华社——经济参考网,在当前经济运行已经进入新常态的阶段，宏观调控手段必须加以创新。2012年十八大，2013年十八届三中全会，2014年政府工作报告，这三年中三个文件对宏观调控的表述发生了一个演化过程，这个演化说明宏观调控也需要与时俱进，需要创新。
同年同月同日生，是遭遇也是缘分,有人说，前世一千次回头，才换来今生的一次相遇。齐裕说，他上辈子一定啥事儿都没干，光顾着回头了。昨天浙大新生报到，齐裕陆续等来了其他3位室友，小伙伴们相互自我介绍后，发现4人的生日竟是同一天——1995年1月26日。
北京80后公务员超6成认为自己是低收入者,80后北京公务员吐槽，收入不高，月收入在4530元左右，生存压力较大。62.1%的人认为与同年龄段的人相比，属低收入，仅36.5%认为属中等收入群体。该群体月均支出4126.75元，接近平均收入。月支出最多三方面为房租或房贷、吃饭、抚养子女。
餐饮业老板吐槽利润低：1只鸡要交13种税29种费,“点只白切鸡，一条腿交税！”据饮食商会的数据显示，广州餐饮业要缴纳的税费高达50项，占营业收入的12.5%。在广州，如果一家小型餐馆月营业额达不到3万元，根本无法维持经营。
关注公益，关注人民网,据深圳市人民检察院统计，近6年来，深圳市女性犯罪的比率与数量都呈上升趋势。据调查研究，深圳近年来发生的多起女性杀人案件之中，感情纠葛是犯罪起意的主要动因，而且受害方多为与丈夫有暧昧关系的第三者。
18岁小张痘痘太多想不开了·都市快报,25日上午，浙江金华警方从一间出租房里救出了不省人事的小张，当时小张在房间里打开了3个崭新的煤气瓶，静静躺在床上。民警被小张轻生的解释给雷到了：几天前，有人和他开玩笑，说他脸上的青春痘太多，小张一下子受了刺激。
渤海证券上海客户亏光1亿欲起诉营业部高管违规,一次次增仓，一次次巨亏，七千万元的本金血本无归，加上付的利息和佣金费，近1个亿的资金化水。据王君说，渤海证券营业部的两位高管以高回报率诱惑他参与配资业务，终致巨亏，在他向渤海证券投诉无门后，决定去走法律程序。
瑞士将公开外国账户信息专家称有利于中国反腐,世界最大的离岸金融中心瑞士承诺，将自动向其他国家交出外国人账户的详细资料。这是全球打击逃税举措的最重大突破之一。如果要“撬开”纳税人的隐秘账户，瑞士的配合至关重要。专家认为，这对中国追查贪污是一件好事。
连遭乌云压顶中概股后期走势堪忧,在美股三大股指持续波动上涨的背景下，中概股近日却跌出一波罕见的“灾情”，着实让投资者大跌眼镜。数据显示，自3月以来，优酷土豆、搜狐下跌幅度均超过32%；新浪暴跌29.53%；搜房跌幅也达20.09%；携程下跌11.55%。
或陷“临空”陷阱千亿南昌临空经济区“大跃进”,江西在今年4月发布了《南昌临空经济区发展规划(2014-2025年)》.上述《规划》总面积223平方公里，计划到2025年建成一个千亿产值、百万人口的新经济体。不过，这一超前规划目前还缺乏必备的客、货运量及临空产业等条件支持。
事业单位3153万人将参加社保谁出资仍未可知,《事业单位人事管理条例》昨日公布。这部即将于7月1日起执行的法律是我国第一部系统规范事业单位人事管理的行政法规。同时公布的还有全国事业单位准确的底数：现有事业单位111万个，事业编制3153万人
雅虎拟减少阿里IPO售股量阿里或公布股权结构,凭借电子商务大热，阿里巴巴，成为中国最赚钱互联网公司。据悉阿里巴巴集团与雅虎修改了此前股权减持协议。初步估计，在阿里巴巴IPO之后，雅虎持有其股权比例为13%左右。此举与阿里巴巴、雅虎一直以来的股权争夺意图相背，令人费解
日股升至六年高位泡沫风险不可小觑,日经225指数2日微跌0.04%，收于15655.07点。此前的上周四，该指数曾刷新2007年12月以来的新高，尽管随后两个交易日微跌，但依然位居该高位附近。有业内人士认为，日本经济未迎来根本好转，日股持续走高存在较大的泡沫，后市风险不可小觑。
习总书记首谈“四个全面”意味着什么,习近平总书记近日在江苏调研时强调，要“协调推进全面建成小康社会、全面深化改革、全面推进依法治国、全面从严治党，推动改革开放和社会主义现代化建设迈上新台阶。”在公开报道中，将“四个全面”并提，这还是第一次，意蕴深邃。
衡水中学：－郑州晚报数字报,“一本上线率86.6%，二本上线率99.3%，104人被清华北大录取，包揽全省文理科状元，以绝对优势摘取全省15连冠！”这是2014年衡水中学竖在校门的高考喜报。白岩松惊呼这是一所“成批成批像韭菜一样批发生产状元的学校”。（郑州晚报）
停牌筹划重组昌九生化启动自救模式,“三个月内不重组”的承诺已经到期，昌九生化于4月10日晚宣布：控股股东昌九集团正在筹划公司止亏保壳方案，并将于近期提交公司董事会审议。分析人士指出，与投资者曾经期待的牵手赣州稀土相比，筹划中的保壳方案只能称得上是自救模式。
避税与反避税：税务部门和跨国公司间的“猫鼠”博弈,根据G20峰会的消息，中国已全面加入G20框架下国际反避税大行动。这意味着中国通过加强国际税收合作，提升反避税水平，力堵跨国公司的避税通道。反避税与避税，实际上是一场各国税务部门与跨国公司的“猫鼠”博弈。
工行关闭四个快捷支付接口多银行或跟进清理,从24日开始，工行已逐步关闭支付宝在工行体系的快捷支付接口数量——全行拥有快捷支付业务接口的分行数量从5家减少到1家。多位银行业人士透露，目前，其他各家大行也在纷纷考虑对分行快捷支付业务接口进行清理整顿和统一上收。
53家房企“中考”：近六成不乐观25家预亏,截至7月20日，共有53家房企发布2014年中报业绩预告，其中31家发布预减、略减、首亏、续亏等类型预告，这意味着近六成房企今年上半年业绩难言乐观。从上述53家房企今年中报业绩预告情况来看，25家房企净利润为负，占比接近50%。
寻找最牛货币基金：广发南方夺冠益民垫底,货基林林总总，百姓眼花缭乱，怎样才能找到最牛货基？《投资者报》数据研究部完全站在投资者角度，对运作至少接近三年的51只基金，从收益、风险、流动性三方面赋权对比，总得分最高5只货基，分别是广发货币A、南方现金增利A…...
央行5000亿定向宽松传闻奇袭债市期待牛陡行情,21日一则央行定向放水的传闻奇袭银行间市场，传闻称央行通过国开行和建行投放了基础货币，且称央行再贷款投放规模在3000亿-5000亿间。这则未经证实的消息意味着对“非标不死，债市不兴”念念不忘的债市圈要迎来“牛陡行情”了。
华为内部“拍苍蝇”：116名员工涉嫌腐败,尽管从2005年开始通过宣誓方式要求所有干部杜绝腐败，2013年年初又召开董事会自律宣言宣誓大会，但是中国最大的电子企业华为仍然遇到了棘手的反腐问题。华为内部传出，但未经华为官方证实，华为的终端业务今年发现了上亿元的受贿个案。
最近一年174位基金经理离职仅15人坚守公募,“公募基金业压力大，回报与付出不成正比。批量‘老鼠仓’出现，也加快基金经理的离职速度。”近一年，共有174位基金经理离职，其中选择继续坚守公募基金业的仅15人；另2人投奔私募，2人去券商；其余155位离职基金经理“去向不明”。
泛鑫美女老总外逃案开庭外逃时携83万欧元,去年8月，上海泛鑫保险实际控制人陈怡，携款潜逃海外，震惊保险业。昨日，上海市一中院第一法庭审理了此案，检察机关指控称，13年7月28日，陈怡和江杰在将近5千万元港币转至香港后，携带83万欧元等现金和首饰、奢侈品等财物潜逃境外。
安徽铜陵：买房补契税公积金贷款首付降低至20%,继南宁放松限购政策后，安徽铜陵市也加入了“救市”队伍中。在住房公积金贷款、契税补贴等方面配套制定了一系列利好政策，新政策从5月1日起已正式实施。职工首次购房申请个人住房公积金贷款的首付比例由30%降低为20%。
逾六成公司中报预喜,截至6月22日，沪深两市共有940家上市公司发布2014年半年报业绩预告，除19家业绩不确定之外，171家预增，261家略增，126家续盈，48家扭亏，共计606家预喜，占已经披露业绩预告企业的64.47%。行业景气度方面，医药医疗和TMT仍然延续了高景气度。
“扫盲行动”每周一次券商发力两融业务,根据最新数据统计，截至今年5月13日融资融券余额已达1898.707亿元。不仅两融余额在火箭式递增，同时市场上两融开户数也在大幅增加，4月份个人与机构总开户数新增145604户，新销1686户，短短两个月时间内两融开户数已增加近30万户。
均线发出买入信号轻仓博两类股,当前监管层护盘态度明显，但市场信心仍较疲弱，不易轻言反转；结构性行情特征或将延续，不排除股指继续在2010-2050区间震荡。系统性上涨难遇且不可求。新能源汽车、丝绸之路、苹果概念股有望继续成为短期热点，投资者可以逢低关注。
标普投资师详解投资“免费午餐”,巴菲特建议普通投资者投资指数并长期持有，标准普尔首席投资师斯托福（SamStovall）进一步研究发现，通过低相关性的版块组合来增加多样性，从而获得所谓的“免费的午餐”。斯托福近日接受记者采访，对“免费午餐”的理论进行了进一步的解释。
房地产销售量价齐现负增长信贷环境决定楼市走向,受春节假期、房贷收紧、对政策预期不确定等因素影响，今年前2个月，全国商品住宅市场现量价齐跌态势。业内人士认为，对于房地产市场而言，2014年信贷环境将比政策环境影响更为深远。
人社部官员定调养老金“入市”：只许赚不许赔！,虽然投资运营方案仍然没有出台的时间表，但基本养老金“入市”已是箭在弦上。人社部基金监督司司长陈良昨天表示，养老金投资运营方案将实行严格的监管制度，考虑把“养老基金投资只能赚钱不能赔钱”作为对养老金受托机构的要求。
银行卡磁条年底前取消快换芯片卡,近日，央行下发通知，8月底前全国ATM关闭金融IC卡降级交易，10月底前全国POS终端关闭金融IC卡降级交易。金融IC卡降级交易，就是指在能够受理芯片卡的终端上（包括ATM和POS等）没有优先使用芯片，而是优先使用磁条介质进行交易。
王石担心下一个倒台的就是万科转型仍不明朗,万科董事会主席王石表示，很担心下一个倒台的就是万科，转型仍不明朗。王石认为，万科现在仍然困惑于企业下个十年的转型问题。“我们讨论了八个月，到现在都没有弄清楚。到年底是不是有一个结果也不知道”。
中国经济必须冲出的三重门,各种数据显示，中国经济进入了伤停补时阶段，近期很多指标得分都是近10年来的最低值，但这仅仅是表象，深层次的原因应该是中国经济在自身演进过程中呈现出明显的三重断裂带。而2014年或许是惊险的一年。
宜华木业否认刘绍喜被带走,有传言称：刘绍喜7月14日下午在潮汕机场准备乘坐私人飞机飞往香港时，在边检被带走。至于被带走原因，一说是牵涉到广州前市委书记万庆良的案件；另一个说法则称，刘绍喜被带走可能涉及到他运作的几家潮汕地区上市公司的过程中存在问题。
外媒：多投行分析中国经济“硬着陆”后果,2月20日，华尔街日报刊文称过去两周，几家大型投资机构陆续发布报告，对中国经济硬着陆的假设进行了探究。报告附加了“我们并不期望此事发生”的说明。但如果中国经济真的出现硬着陆了呢？全球其他地方是否会随之一同跌落？
绿地集团“染指”海外赌场生意,2011年以来，国内楼市跌宕起伏，一些地产商开始尝试未曾染指的新业务——赌场。距离上海仅500公里、对中国游客免签的韩国济州岛，成为他们试水的首选地。迄今为止，至少有两家中国地产商——蓝鼎国际和绿地集团已明确在当地建设包含赌场的地产项目。
3年内中国80%富人将返贫房产钢铁领域首当其冲,改革开放以来，中国的造富运动无论从人数上，还是从财富总量上，均令西方瞠目，它完成了资本主义国家一两百年的历程；但在未来3年内80%的中国富人将返贫，首当其冲的是矿产、房地产和钢铁等重污染领域的富人。
宣示南海主权第二张牌：中海油招标开采南海油田,继21日设立三沙市，打出维护南海主权的第一张牌后，日前，中海油网站发布消息称，南海地区对外开放9个海上区块，供与外国公司合作勘探开发。这些招标的海域靠近越南。这也是中海油时隔20年后再次在南海争议海域招标开采油田。
“后辉瑞”时代万艾可仿制大战一触即发,今年7月1日，美国辉瑞公司旗下的男性药品伟哥（“万艾可”）在中国的专利保护正式到期。中国多家制药公司投入巨资展开对伟哥的仿制研究。据世卫组织统计，全球患有勃起机能障碍的男性约10%。按此计算，此类药品在中国有600亿～1000亿元市场容量。
可穿戴的未来不在大公司？,我们已经看到无数大公司推出的可穿戴设备，早的有微软十年前联合天梭、Suunto等手表公司推出的SPOT智能手表，上市几年后被砍掉。最近的一次失败案例当属三星Gear系列手表。这块产品上市一个多月的时候被曝出全球销量不到5万只，并且退货率高达3成。
百亿社保领衔险资基金抄底QFII仓位升至新高,社保基金已向新设立的投资组合拨付百亿元资金，并已开始建仓，周期约一个月。此后，社保基金还将有百亿元新资金继续拨付给上述投资组合。市场人士指出，社保基金此时入市，并非所谓救市托市行为，而是基于A股已处相对底部区域所做出的投资判断。
疯狂新股失败改革,第一批新股的绝大部分已发行上市完毕，而新股炒作非常疯狂。以调控、平抑新股炒作为目标的证监会所谓“新股改革”完全失败。81%的IPO公司发生老股转让，老股东拼命变现、出逃，上市公司可能由此由兴而衰。
汪洋谈农村改革：别走股市老路,国务院副总理汪洋说，农村改革首先要注意培育新型的经营主体，也就是说地靠谁种。它是一个面向市场经济的经营主体。他主张拉对试点，不是强调速度，不是要搞非常多的流转，搞非常多的合作社，开始我们要把这个质量搞好，就是把规矩立好。
李克强：中国对TPP持开放态度乐见其成,4月8日-11日，博鳌亚洲论坛在中国海南省博鳌召开。4月10日，国务院总理李克强在开幕大会上发表主题演讲：中国对“跨太平洋战略经济伙伴关系协定”（TPP）持开放态度，只要有利于世界贸易的发展，有利于公平开放的贸易环境，中方乐见其成。
保定成一体化最大赢家涞水将成为承接转移的最前沿,如果说目前什么最火，除了被各大媒体热炒的京津冀一体化之外，恐怕就是被传为“首都副中心”的保定。据搜房网保定站统计，自“京津冀一体化”概念提出后，保定近一周的销售套数在2000套以上，销售额保守估计在10亿元以上。
王健林现身回应“被调查”传言：我不好好的嘛,今日第七届“中华慈善奖”报告会上，针对被调查传闻的提问，王健林笑着说：“这纯粹是谣言，正所谓谣言止于智者，我不是好好的在这里嘛！我们集团也已经回应了。”万达因获得2011年度“中华慈善奖”，王健林本周将赴中南海接受中央领导颁奖。
父子官殇：周滨和他的小伙伴们,周滨、郭连星、蒋峰，这些之前几乎不为人所知的名字，随着“十八大”之后反腐斗争的深入，逐渐因其父辈关系被推上前台。他们成年后，在生活中相识，亦在工作和生意场上勾连颇多。这种交集，缘于他们父辈多年建立起来的各种深厚关系……详见：
全行业年终奖大比拼：来看看别人家的年终奖,在一些土豪行业，年终奖比的已经不是数量，而是创意。37游戏请来了直升飞机；掌门科技发放40多辆特斯拉；UC是10台奥迪A4；百度则“没有上限”。说到年终奖，不能不提游戏行业，在热门手游月流水轻松过亿的当下，他们堪称土豪中的土豪。
10转20才算霸气，高送转怪象遭证监会盯防,两市第二高价股朗玛信息昨日发布业绩预告及年报高送转预案，公司预计2014年度净利润同比下滑三至五成，并拟向全体股东每10股转增20股。高送转今年怪象重重：业绩巨亏，照样高送转;预案公布前，股价便起跳;散户一拥而上，股东溜之大吉。
前海产业优惠目录获批前海概念股有望再度腾飞,3月31日消息，深圳市前海管理局局长张备今日在前海合作区咨询委员会第二次会议透露，前海产业优惠目录在国务院已完成审批程序，即将发文。在前海15%的企业所得税优惠税率，是参照香港、新加坡等国际主要金融中心确定的。
金珍君退任代理行政总裁李宁“出山”,李宁公司今日公告，宣布金珍君退任代理行政总裁一职。李宁本人表示，在新的行政总裁任命之前，他将深度介入公司的日常管理。公司老员工表示，“现在的局面非常复杂”。金珍君担任行政总裁期间，一些大刀阔斧的改革举措在内部引起了争议
“野蛮人”安邦再出手：举牌民生,继举牌招商银行、金融街、金地集团后，安邦系再次扮演“野蛮人”角色，踹了又一家上市公司的门。民生银行12月1日晚公告称，一致行动人安邦财险、和谐健康、安邦保险已合计持有公司17.02亿股，占上市公司总股本5%，触发举牌。
悬浮的精英——“内地生”在香港,作为香港在内地自主招生政策的产物，“内地生群体”已经渐成规模并成为香港社会一个独特的存在。这些成长于内地教育体制的佼佼者，在一个制度截然不同的城市一如既往地保持优秀。纵使他们当中大多数人最终的价值认可单一地指向了中环的商业精神。南方周末
董明珠炮轰小米、美的:两个骗子,格力集团董事长董明珠表示，希望雷军能改改，雷军跟她赌10个亿改成跟华为赌，跟世界上手机行业最顶级的赌，那是真正的赌。“你超过我，有什么面子吗？有本事在手机行业超过所有人，你是第一。我一个做空调的，你跟我比什么。”
火车上灵感突现大二男生代理特产年利润达50万,大学生孙昊，在从天津到浙江的火车上，注意到乘客都带着特产，突来灵感要做特产交易的中介商，完成土特产的异地交换。最初只是在淘宝上开店，经过别人的点拨后萌生了注册公司的念头。当年，他的公司年利润就做到了50万。
基民弃股基投货基基金前十家排位大变,截止到三季度末，基金公司总规模的榜单中，上投摩根、汇添富是最新跻身进前十的公司，而不幸滑落前十的则是富国基金和银华基金。“规模上涨较多的公司，主要是依靠货基来扩张的。”目前，货币型基金已经成为了基金公司扩大规模的利器。
A股频创天量是否完成牛熊切换存争议,12月的中国股市，注定成为世界瞩目的焦点。5日，沪深股市以逾1.07万亿元的惊人总量，再度改写全球股市单日成交纪录。蓝筹股“暴动”引领A股频频创出新高和天量。是什么力量在推升股市？走出长期低迷的阴霾，A股是否已经完成了牛熊切换？
总理座谈会释放了什么信号,国务院总理李克强昨日主持召开座谈会，就当前经济形势和下一步经济工作，听取专家学者和企业负责人的意见建议。相比以往，这次大大提高了企业家和市场化专业领域经济学家的比例，包括京东集团首席执行官刘强东在内的四位企业家也进行了发言。
上交所高层赴港再动员闭门会摸底券商忧成本,继8月8日邀请国内券商召开动员大会后，12日上交所高层密访香港券商召开小范围闭门座谈会，摸底香港券商的沪港通业务准备情况。部分参会香港券商，虽然总体上对沪港通持积极乐观态度，但对于参与沪港通业务的成本问题仍有所担忧。
27省份上半年GDP出炉21省增速较一季度回升,截至24日，全国共27个省份公布了上半年GDP数据，其中，21省份上半年GDP增速较一季度回升，重庆以10.9%的增速居榜首，河北以5.8%增速垫底。专家指出，增速回升主要受微刺激措施发力影响，但目前部分地方增速仍低于年初制定的增长目标。
券商结队抱腾讯“大腿”证券互联网化好戏连连,中山证券“零佣通”昨日喊出了零佣金开户，在这个热闹的券商互联网化时代，中山证券显然不是独角戏。记者获悉，包括国金证券、中山证券、中信证券等在内的7家证券公司，已与腾讯签署了不同的合作协议。
央视财经内部确认最年轻美女主播已被带走,从央视财经内部获悉，传言所指“被带走女主持”为《第一时间》栏目女主播欧阳智薇。最近一个月，都没有出现在单位。财经频道一位工作人员透露，6月12日的节目，原定主持是欧阳智薇，但她没有出现，而是由宋鹏飞一个人完成了全程播报。
中兴华为向小米厂商发律师函指后者侵犯专利,记者获悉，中兴、华为已经向包括小米、OPPO、步步高在内的手机厂商广发“律师函”，指称后者侵犯了其WCDMA专利。如今，中国，这个全球最大的手机市场，激烈的市场竞争背后，一场专利战是否在所难免？
楼市步入调整阵痛期：一线城市涨幅过高滞涨渐显,春天来临，楼市却迅速降温，3月份以来主要城市成交持续低迷。思路转变的背景下，业内人士预测，在去年突如其来的爆发式高增长结束后，今年楼市面临的风险因素不断增多，下行压力逐渐显现，楼市正在步入调整期。
房贷证券化上正轨需8至10年央行被指画饼充饥,“住房贷款资产证券化是个趋势，虽然在政策层面上央行及银监会愿意推动，但其市场机制、运作模式还有待建立和完善。”按照一般的规律，中国的MBS从政策出台到实施细则，再到有专门操作的企业主体及平台，至少需要8-10年很难走上正轨。
钢铁业困局：推倒钢贸商后将国企拖入托盘黑洞,两年过去了，低迷的钢铁业在推倒钢贸商后，又把第二波风险传导到一些民营钢厂和为这些钢厂“托盘”的大央企、地方国企。钢铁业持续调整，钢贸商集体倒闭，钢厂销售模式面临重构后，钢铁电商迎来千载难逢的机会。
提前“放风”实为探市？三亚暂缓取消限购,就在三亚有关方面确认从10月7日起取消住房限购政策之时，三亚市住建局明确表示将继续执行限购政策。昨日，三亚市住建局相关负责人表示：“目前，三亚仍按照国家分类调控的要求，执行住房限购政策，还没有考虑取消房地产限购政策。”
九大基金投资总监把脉2014：投资盛宴可期,经历了2013年成长股的狂飙，2014年谁又将是市场新的主角？改革红利的推动，能否在2014年的资本市场掀起一波浪潮？站在2013年年底，仰望2014年，一切都充满了变数。
存款锐减9400亿M1“马失前蹄”,央行近日公布数据显示，2014年1月社会融资规模2.58万亿，刷新单月规模历史新高。1.32万亿的新增人民币贷款也创下近4年来最高。与此形成鲜明对比的是，1月存款大规模外流，M1增速马失前蹄。存款大幅减少9402亿，比上年同期足足低了14.1个百分点。
发改委连召地方座谈研究十三五规划调结构成重点,国家发改委副主任徐宪平在浙江调研期间主持召开了经济形势座谈会和“十三五”规划基本思路研究座谈会。业内人士指出，这是为了深入分析当前经济形势，抓紧研究起草好“十三五”规划的基本思路。
奔驰克莱斯勒降价汽车反垄断再下两城,如果说“反垄断”一词对汽车行业还很抽象的话，那么过去1个月里，汽车行业已真实感受到了它的存在。从此前抽象的概念，到配合调查，再到主动降价，巨头们开始服软。目前部分品牌虽降低了部分车型价格，但其他车型的零整比还是不低。
你不能错过的投资智能化元年：雷柏科技1月翻番,正如一位大型基金公司投资总监所述，大盘股长期没戏。不过投资者依旧在小盘股上看到了希望：继传媒和互联网的炒作热潮之后，A股已进入了一个全新的时代：智能化时代。如果说2013年言必称互联网，那么2014年已是言必称智能化。
贪官忏悔录：张曙光立志改造自己继续为高铁做事,张曙光在北京市二中院受审，并作最后陈述。“我们上百个工厂，几千名工程师，几万名职工干了整整7年，走了3大步，形成了中国自己的高速铁路体系”，“我们圆了高铁梦。我会认真改造自己，重新做人，继续为高铁作事情。”
“无添加”不等于没添加：香喷喷的糕点如何炼成,对于越来越多追求食材天然、有机、安全的消费者来说，“纯天然、无添加”是他们追求的目标，同时也正成为商家推广商品的一个噱头。一些糕点类商家把“纯天然、无添加”解读为：不添加防腐剂、不添加人工香精香料以及人工色素。
2013股市盘点：A股倒数第二日股牛冠发达国家,2013年，大部分发达国家的股市一片欣欣向荣；相比之下，新兴市场则黯然失色。据彭博统计，经汇率调整后，A股市场(上证指数)在全球股市最差排行榜上位居第八，巴西股市居第三位。而今年以来日经指数以累计58%的涨幅，力压欧美市场
消息称刘铁男罪名仅受贿一项金额“千万级”,据悉，刘铁男涉嫌的罪名只有一项，即受贿罪，金额为“千万级”。关于刘铁男受贿的具体数额，还有传闻称其拥有25个银行账户、1900万澳元存款、9公斤金条和25只罕见钻石，总值超过8.7亿元人民币。
消息称SLF投放尚未执行五大行仍处申请阶段,有消息称，当天央行通知五大行，将在最近两天分别向每家投放1000亿的SLF，期限为3个月，该消息获得不少机构人士的证实。大战略(中国)投资管理中心陆俊龙透露，目前各商业银行正处于材料准备阶段，须央行核准材料审批后方可执行SLF。
应对物价上涨巴西连续六次加息,巴西央行27日晚宣布，将该国银行间基准利率提高50基点至10%。这是今年4月以来，巴西央行连续第六次上调基准利率。业内人士指出，通胀率高企是巴西央行被迫不断加息的最主要原因。
沪深交易所曝光187份“监管函”涉及170家公司,据统计，今年已有超过180条监管信息先后披露，170家上市公司以及相关责任方被卷入。个别公司违规行为令人瞠目结舌，山河智能、多伦股份等被出具监管函或监管关注决定的公司，不仅为相关各方带来负面影响，更给投资者造成损失。
微信版余额宝拟12月初上线狙击天弘规模登顶,“腾讯初步拟定与包括国内最大基金公司华夏，以及规模靠前的易方达、广发和汇添富等四家基金公司进行合作。”按知情人士说法，与四家基金公司的合作模式类似余额宝。业内分析，微信急于年内与基金合作，不无狙击天弘基金的意思。
北京等多地楼市近一月成交激增,中国指数研究院发布8月“百城房价指数”显示，全国100个城市新建住宅平均价格为10771元/平方米，环比下跌0.59%，这也是继5月首次下跌以来连续第4个月下跌。北京8月新房网签量过万套，环比上涨6成，二手住宅的成交量也为最近5个月的最高点。
重仓TMT基金业绩悬殊基金对地产股空翻多,7月21日，创业板失守1300点，个股分化异常严重。而随着地产限购政策的松绑，地产股则持续走强。公募基金二季报显示，不少机构仍旧重仓TMT，回避地产股，但时至三季度，已经有公募基金对地产股空翻多。
新发理财产品预期年化收益超8%仅4款,面对银行理财产品收益率整体颓势，业内人士认为，收益率在未来一段时间将仍然保持向下运行步调，最早至9月份末出现回弹，或需静候年末。截至8月22日15:30，本周有88家银行共发行841款产品，平均预期收益率为5.08%。
别了，狂妄的中国房地产,之前是宗庆后，现在是曹德旺，这些赫赫有名的产业大佬，高呼房地产已形成泡沫，曹德旺更是厉声警示房价下跌。大佬们是会尽量回避去评论其它行业的事，这种敲丧钟式的迎头棒喝，更不会去赶风投，何况，宗庆后和曹德旺两位，是非常低调的人。
银河证券固定收益总监被调查债市整肃风暴发酵,固收市场整肃风暴仍在发酵。中国银河证券公告称，该公司的固定收益业务线业务总监代旭及两名相关员工因个人原因正在配合司法机关工作，而代旭此前的职责将暂时由银河证券执行董事兼总裁顾伟国代行。
住房信息500城联网爽约,住建部承诺6月底将实现500个城市联网，但至今联网工作未见明确进展。关于联网工作的难以推进，多位业内专家称，地方政府一是出于对住房信息披露的担忧与顾虑，二是出于地方房屋产权纷杂，基础数据难以整理的问题；而住建部方面则有部分资金方面的难题。
中石化加油卡生意经：发卡上亿张可沉淀百亿资金,截至2014年5月底，中石化累计发卡突破1.18亿张，其加油卡网络覆盖了全国31个省(市、自治区)。如果简单以每张卡内现有资金100元来计算的话，实际的沉淀资金就高达118亿元。
银润投资联姻晨光稀土稀土整合变局行业风光不再,耗时一年半，银润投资(000526.SZ)与赣州晨光稀土新材料股份有限公司(以下简称晨光稀土)的重组，却走到了最危险的边缘。重组各方就是否终止本次重大资产重组，本次重大资产重组能否继续推进存在重大不确定性。
